Gene_name,activator,agonist,antibody,binder,blocker,cleavage,immunotherapy,inhibitor,inverse agonist,modulator,negative modulator,other/unknown,positive modulator,potentiator,vaccine
AQP4,0,7,0,0,0,0,0,20,0,0,0,0,0,0,0
AQP5,0,10,0,0,0,0,0,21,0,0,0,0,0,0,0
AQP6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AQP7,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0
AQP8,0,27,0,0,0,0,0,15,0,0,0,0,0,0,0
AQP9,0,18,0,0,0,0,0,41,0,0,0,0,0,0,0
AR,0,33,0,0,0,1,0,38,0,10,0,0,0,0,0
ARAF,0,13,0,0,0,0,0,43,0,0,0,0,0,0,0
ARAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCN1,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0
ARCN2,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0
AREG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARF4P1,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0
ARF5,8,0,0,0,8,0,0,4,0,0,0,0,0,0,0
